num,sign,key,facet,domain,reverse,item
167,-E4,E4,Activity Level,E,1,Like to take it easy.
168,-O4,O4,Adventurousness,O,1,Dislike changes.
169,-A4,A4,Cooperation,A,1,Love a good fight.
170,+C4,C4,Achievement-Striving,C,0,Set high standards for myself and others.
171,-N5,N5,Immoderation,N,1,Rarely overindulge.
172,+E5,E5,Excitement-Seeking,E,0,Act wild and crazy.
173,-O5,O5,Intellect,O,1,Am not interested in abstract ideas.
174,-A5,A5,Modesty,A,1,Think highly of myself.
175,-C5,C5,Self-Discipline,C,1,Find it difficult to get down to work.
176,-N6,N6,Vulnerability,N,1,Remain calm under pressure.
177,+E6,E6,Cheerfulness,E,0,Look at the bright side of life.
178,-O6,O6,Liberalism,O,1,Believe that too much tax money goes to support artists.
179,-A6,A6,Sympathy,A,1,Tend to dislike soft-hearted people.
180,-C6,C6,Cautiousness,C,1,Like to act on a whim.
181,-N1,N1,Anxiety,N,1,Am relaxed most of the time.
182,-E1,E1,Friendliness,E,1,Often feel uncomfortable around others.
183,-O1,O1,Imagination,O,1,Seldom daydream.
184,-A1,A1,Trust,A,1,Distrust people.
185,-C1,C1,Self-Efficacy,C,1,Misjudge situations.
186,-N2,N2,Anger,N,1,Seldom get mad.
187,-E2,E2,Gregariousness,E,1,Want to be left alone.
188,-O2,O2,Artistic Interests,O,1,Do not like poetry.
189,-A2,A2,Morality,A,1,Put people under pressure.
190,-C2,C2,Orderliness,C,1,Leave a mess in my room.
191,+N3,N3,Depression,N,0,Feel that my life lacks direction.
192,-E3,E3,Assertiveness,E,1,Keep in the background.
193,-O3,O3,Emotionality,O,1,Am not easily affected by my emotions.
194,-A3,A3,Altruism,A,1,Am indifferent to the feelings of others.
195,-C3,C3,Dutifulness,C,1,Break my promises.
196,-N4,N4,Self-Consciousness,N,1,Am not embarrassed easily.
197,-E4,E4,Activity Level,E,1,Like to take my time.
198,-O4,O4,Adventurousness,O,1,Don't like the idea of change.
199,-A4,A4,Cooperation,A,1,Yell at people.
200,+C4,C4,Achievement-Striving,C,0,Demand quality.
201,-N5,N5,Immoderation,N,1,Easily resist temptations.
202,+E5,E5,Excitement-Seeking,E,0,Willing to try anything once.
203,-O5,O5,Intellect,O,1,Avoid philosophical discussions.
204,-A5,A5,Modesty,A,1,Have a high opinion of myself.
205,-C5,C5,Self-Discipline,C,1,Waste my time.
206,-N6,N6,Vulnerability,N,1,Can handle complex problems.
207,+E6,E6,Cheerfulness,E,0,Laugh aloud.
208,-O6,O6,Liberalism,O,1,Believe laws should be strictly enforced.
209,-A6,A6,Sympathy,A,1,Believe in an eye for an eye.
210,-C6,C6,Cautiousness,C,1,Rush into things.
211,-N1,N1,Anxiety,N,1,Am not easily disturbed by events.
212,-E1,E1,Friendliness,E,1,Avoid contacts with others.
213,-O1,O1,Imagination,O,1,Do not have a good imagination.
214,-A1,A1,Trust,A,1,Suspect hidden motives in others.
215,-C1,C1,Self-Efficacy,C,1,Don't understand things.
216,-N2,N2,Anger,N,1,Am not easily annoyed.
217,-E2,E2,Gregariousness,E,1,Don't like crowded events.
218,-O2,O2,Artistic Interests,O,1,Do not enjoy going to art museums.
219,-A2,A2,Morality,A,1,Pretend to be concerned for others.
220,-C2,C2,Orderliness,C,1,Leave my belongings around.
221,-N3,N3,Depression,N,1,Seldom feel blue.
222,-E3,E3,Assertiveness,E,1,Have little to say.
223,-O3,O3,Emotionality,O,1,Rarely notice my emotional reactions.
224,-A3,A3,Altruism,A,1,Make people feel uncomfortable.
225,-C3,C3,Dutifulness,C,1,Get others to do my duties.
226,-N4,N4,Self-Consciousness,N,1,Am comfortable in unfamiliar situations.
227,-E4,E4,Activity Level,E,1,Like a leisurely lifestyle.
228,-O4,O4,Adventurousness,O,1,Am a creature of habit.
229,-A4,A4,Cooperation,A,1,Insult people.
230,-C4,C4,Achievement-Striving,C,1,Am not highly motivated to succeed.
231,-N5,N5,Immoderation,N,1,Am able to control my cravings.
232,+E5,E5,Excitement-Seeking,E,0,Seek danger.
233,-O5,O5,Intellect,O,1,Have difficulty understanding abstract ideas.
234,-A5,A5,Modesty,A,1,Know the answers to many questions.
235,-C5,C5,Self-Discipline,C,1,Need a push to get started.
236,-N6,N6,Vulnerability,N,1,Know how to cope.
237,+E6,E6,Cheerfulness,E,0,Amuse my friends.
238,-O6,O6,Liberalism,O,1,Believe that we coddle criminals too much.
239,-A6,A6,Sympathy,A,1,Try not to think about the needy.
240,-C6,C6,Cautiousness,C,1,Do crazy things.
241,-N1,N1,Anxiety,N,1,Don't worry about things that have already happened.
242,-E1,E1,Friendliness,E,1,Am not really interested in others.
243,-O1,O1,Imagination,O,1,Seldom get lost in thought.
244,-A1,A1,Trust,A,1,Am wary of others.
245,-C1,C1,Self-Efficacy,C,1,Have little to contribute.
246,-N2,N2,Anger,N,1,Keep my cool.
247,-E2,E2,Gregariousness,E,1,Avoid crowds.
248,-O2,O2,Artistic Interests,O,1,Do not like concerts.
249,-A2,A2,Morality,A,1,Take advantage of others.
250,-C2,C2,Orderliness,C,1,Am not bothered by messy people.
251,-N3,N3,Depression,N,1,Feel comfortable with myself.
252,-E3,E3,Assertiveness,E,1,Don't like to draw attention to myself.
253,-O3,O3,Emotionality,O,1,Experience very few emotional highs and lows.
254,-A3,A3,Altruism,A,1,Turn my back on others.
255,-C3,C3,Dutifulness,C,1,Do the opposite of what is asked.
256,-N4,N4,Self-Consciousness,N,1,Am not bothered by difficult social situations.
257,-E4,E4,Activity Level,E,1,Let things proceed at their own pace.
258,-O4,O4,Adventurousness,O,1,Dislike new foods.
259,-A4,A4,Cooperation,A,1,Get back at others.
260,-C4,C4,Achievement-Striving,C,1,Do just enough work to get by.
261,-N5,N5,Immoderation,N,1,Never spend more than I can afford.
262,-E5,E5,Excitement-Seeking,E,1,Would never go hang gliding or bungee jumping.
263,-O5,O5,Intellect,O,1,Am not interested in theoretical discussions.
264,-A5,A5,Modesty,A,1,Boast about my virtues.
265,-C5,C5,Self-Discipline,C,1,Have difficulty starting tasks.
266,-N6,N6,Vulnerability,N,1,Readily overcome setbacks.
267,-E6,E6,Cheerfulness,E,1,Am not easily amused.
268,-O6,O6,Liberalism,O,1,Believe that we should be tough on crime.
269,-A6,A6,Sympathy,A,1,Believe people should fend for themselves.
270,-C6,C6,Cautiousness,C,1,Act without thinking.
271,-N1,N1,Anxiety,N,1,Adapt easily to new situations.
272,-E1,E1,Friendliness,E,1,Keep others at a distance.
273,-O1,O1,Imagination,O,1,Have difficulty imagining things.
274,-A1,A1,Trust,A,1,Believe that people are essentially evil.
275,-C1,C1,Self-Efficacy,C,1,Don't see the consequences of things.
276,-N2,N2,Anger,N,1,Rarely complain.
277,-E2,E2,Gregariousness,E,1,Seek quiet.
278,-O2,O2,Artistic Interests,O,1,Do not enjoy watching dance performances.
279,-A2,A2,Morality,A,1,Obstruct others' plans.
280,-C2,C2,Orderliness,C,1,Am not bothered by disorder.
281,-N3,N3,Depression,N,1,Am very pleased with myself.
282,-E3,E3,Assertiveness,E,1,Hold back my opinions.
283,-O3,O3,Emotionality,O,1,Don't understand people who get emotional.
284,-A3,A3,Altruism,A,1,Take no time for others.
285,-C3,C3,Dutifulness,C,1,Misrepresent the facts.
286,-N4,N4,Self-Consciousness,N,1,Am able to stand up for myself.
287,-E4,E4,Activity Level,E,1,React slowly.
288,-O4,O4,Adventurousness,O,1,Am attached to conventional ways.
289,-A4,A4,Cooperation,A,1,Hold a grudge.
290,-C4,C4,Achievement-Striving,C,1,Put little time and effort into my work.
291,-N5,N5,Immoderation,N,1,Never splurge.
292,-E5,E5,Excitement-Seeking,E,1,Dislike loud music.
293,-O5,O5,Intellect,O,1,Avoid difficult reading material.
294,-A5,A5,Modesty,A,1,Make myself the center of attention.
295,-C5,C5,Self-Discipline,C,1,Postpone decisions.
296,-N6,N6,Vulnerability,N,1,Am calm even in tense situations.
297,-E6,E6,Cheerfulness,E,1,Seldom joke around.
298,-O6,O6,Liberalism,O,1,Like to stand during the national anthem.
299,-A6,A6,Sympathy,A,1,Can't stand weak people.
300,-C6,C6,Cautiousness,C,1,Often make last-minute plans.
